identifier,lat,lon
B1,51.0668767,13.7464958
B2,51.0370322,13.7059823
B3,48.5748352,13.4027918
B4,48.5908311,13.4836067
B5,51.0006005,13.800773s8
B6,51.0261713,13.7610957
B7,50.8474474,12.0661693
B8,50.5468580,13.0400617
B9,51.0957516,14.3924083
B10,51.0345410,13.7214069
B11,50.8499074,12.4682384
B12,51.0054731,13.8067566
B13,51.0403988,12.1511156
B14,50.8560775,13.0759367
B15,50.9158538,13.0330143
B16,50.8138033,12.3879892
B17,50.9867620,12.9691511
B18,50.7213169,12.4712000
B19,51.0996631,13.6543586
B20,49.1525167,18.6762891
B21,48.7791000,12.8635199
B22,48.5475278,12.1379368
B23,51.0485190,12.2934394
B24,50.3082039,12.2531184
B25,50.8574706,13.1756631
B26,50.7344943,12.3731778
B27,50.8218058,12.5432176
B28,50.7660178,16.2644937
B29,50.7153409,12.4783150
B30,50.8331184,12.9580955
B31,49.3269792,12.1030566
B32,51.0456862,13.7239912
B33,51.0287768,13.8128789
B34,49.0789167,12.8816448
B35,49.1215954,12.1269231
B36,51.0827135,17.0360707
B37,51.0846850,17.0466117
B38,49.0018076,12.0802691
B39,49.0018272,12.0802890
B40,49.0096190,12.0838994
B41,50.2429191,18.9946566
B42,51.0573378,13.6878070
B43,50.2753809,19.0241476
B44,50.0041323,18.4713190
B45,50.0111829,18.4574672
B46,50.0282290,18.6981191
B47,50.0408497,18.6815232
B48,50.0743908,18.5220311
B49,50.0813078,18.2096744
B50,50.0937772,18.5617509
B51,50.1121689,18.5449184
B52,50.0910510,18.2240969
B53,51.0934892,13.4137547
B54,48.5639948,13.4298240
B55,48.5733003,13.4525951
B56,50.2301581,18.9495167
B57,50.2507872,19.0047544
B58,50.8949517,13.6656624
B59,50.3206522,18.6642354
B60,50.2543015,19.0243474
B61,51.0657811,13.7411034
B62,48.8777847,12.5791703
B63,50.2967927,18.9360884
B64,50.2731007,18.9392491
B65,49.7518117,18.6365126
B66,50.6753384,12.5111563
B67,51.0522951,13.7402506
B68,49.6719044,12.1550715
B69,51.0292423,13.7187758
B70,50.5052147,12.1301817
B71,50.4789582,17.3364912
B72,49.6720161,12.1552959
B73,51.0131650,13.6472144
B74,51.0778450,17.0471615
B75,51.0833834,17.0235487
B76,51.0850236,17.0446684
B77,51.0854304,17.0360961
B78,51.0854900,17.0459824
B79,51.0751368,17.7079597
B80,50.2200028,18.9693821
B81,50.6221366,12.5308550
B82,50.8456350,12.9383848
B83,49.1738866,12.8545426
B84,50.2986925,18.6885138
B85,51.0794706,17.0216695
B86,50.9620563,13.9344697
B87,49.0120732,12.0991430
B88,51.0796784,13.6596862
B89,51.0059711,13.8363696
B90,49.4483424,12.1793679
B91,50.2701666,18.8717489
B92,48.9884275,12.1417586
B93,50.8109719,12.8959599
B94,49.8098843,19.0220038
B95,50.3903100,18.9513404
B96,50.2619576,19.0291831
B97,50.1006184,18.5351183
B98,50.2185064,18.9690001
B99,50.0857124,18.2126105
B100,50.8518697,16.4753891
B101,50.3455681,18.9293907
B102,50.8972456,12.0873476
B103,50.2718461,18.9399196
B104,50.2713915,18.9352122
B105,50.6617946,17.8889357
B106,51.0824732,13.7276235
B107,50.2416001,18.8380988
B108,48.7315852,13.3764310
